public_operation,aliases,ue_spawn_path,ue_operation_name,owner_class,function_name,node_class,metadata,required_evidence,ambiguity_rule,included_in_graphwrite_op,exclude_reason,source_path,_row_count
add,"+, add, plus",type_promotion,Add,UKismetMathLibrary; UTimeManagementBlueprintLibrary,18 items: Add_ByteByte; Add_DoubleDouble; Add_Int64Int64; Add_IntInt; Add_IntPointInt; Add_IntPointIntPoint; Add_LinearColorLinearColor; Add_MatrixMatrix; Add_QuatQuat; Add_TimespanTimespan; Add_Vector2DFloat; Add_Vector2DVector2D; ...,UK2Node_PromotableOperator,5 items: CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=+; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+; CommutativeAssociativeBinaryOperator=true; ScriptOperator=+;+=; ScriptMethod; CompactNodeTitle=+; CompactNodeTitle=+; ...,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,18 items: Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:270; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:552; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:429; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:326; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:932; ...,18
multiply,"*, multiply, times",type_promotion,Multiply,UKismetMathLibrary; UTimeManagementBlueprintLibrary,23 items: Multiply_ByteByte; Multiply_DoubleDouble; Multiply_Int64Int64; Multiply_IntFloat; Multiply_IntInt; Multiply_IntPointInt; Multiply_IntPointIntPoint; Multiply_LinearColorFloat; Multiply_LinearColorLinearColor; Multiply_MatrixFloat; Multiply_MatrixMatrix; Multiply_QuatQuat; ...,UK2Node_PromotableOperator,5 items: CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=*; CompactNodeTitle=*; ScriptOperator=*;*=; ScriptMethod; CompactNodeTitle=*; ScriptMethod; CompactNodeTitle=*; ...,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,23 items: Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:258; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:560; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:417; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:520; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:314; ...,23
subtract,"-, subtract, minus",type_promotion,Subtract,UKismetMathLibrary; UTimeManagementBlueprintLibrary,17 items: Subtract_ByteByte; Subtract_DoubleDouble; Subtract_Int64Int64; Subtract_IntInt; Subtract_IntPointInt; Subtract_IntPointIntPoint; Subtract_LinearColorLinearColor; Subtract_QuatQuat; Subtract_TimespanTimespan; Subtract_Vector2DFloat; Subtract_Vector2DVector2D; Subtract_Vector4Vector4; ...,UK2Node_PromotableOperator,CompactNodeTitle=-; ScriptOperator=-;-=; ScriptMethod; CompactNodeTitle=-; ScriptMethod; CompactNodeTitle=-,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,17 items: Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:274; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:556; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:433; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:330; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:940; ...,17
divide,"/, divide",type_promotion,Divide,UKismetMathLibrary; UTimeManagementBlueprintLibrary,15 items: Divide_ByteByte; Divide_DoubleDouble; Divide_Int64Int64; Divide_IntInt; Divide_IntPointInt; Divide_IntPointIntPoint; Divide_LinearColorLinearColor; Divide_TimespanFloat; Divide_Vector2DFloat; Divide_Vector2DVector2D; Divide_Vector4Vector4; Divide_VectorFloat; ...,UK2Node_PromotableOperator,CompactNodeTitle=/; ScriptOperator=/;/=; ScriptMethod; CompactNodeTitle=/; ScriptMethod; CompactNodeTitle=/,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,15 items: Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:262; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:564; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:421; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:318; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:956; ...,15
greater,">, greater, gt",type_promotion,Greater,UKismetMathLibrary,Greater_ByteByte; Greater_DoubleDouble; Greater_Int64Int64; Greater_IntInt; Greater_TimespanTimespan,UK2Node_PromotableOperator,CompactNodeTitle=>,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:290; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:572; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:441; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:338; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3469,5
greater_equal,">=, greater_equal, ge",type_promotion,GreaterEqual,UKismetMathLibrary,GreaterEqual_ByteByte; GreaterEqual_DoubleDouble; GreaterEqual_Int64Int64; GreaterEqual_IntInt; GreaterEqual_TimespanTimespan,UK2Node_PromotableOperator,CompactNodeTitle=>=,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:298; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:580; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:449; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:346; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3473,5
less,"<, less, lt",type_promotion,Less,UKismetMathLibrary,Less_ByteByte; Less_DoubleDouble; Less_Int64Int64; Less_IntInt; Less_TimespanTimespan,UK2Node_PromotableOperator,CompactNodeTitle=<,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:286; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:568; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:437; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:334; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3477,5
less_equal,"<=, less_equal, le",type_promotion,LessEqual,UKismetMathLibrary,LessEqual_ByteByte; LessEqual_DoubleDouble; LessEqual_Int64Int64; LessEqual_IntInt; LessEqual_TimespanTimespan,UK2Node_PromotableOperator,CompactNodeTitle=<=,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:294; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:576; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:445; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:342; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3481,5
not_equal,"!=, not_equal, neq",type_promotion,NotEqual,UBlueprintGameplayTagLibrary; UBlueprintInstancedStructLibrary; UInputDeviceLibrary; UKismetGuidLibrary; UKismetMathLibrary; UKismetSystemLibrary,27 items: NotEqual_GameplayTag; NotEqual_GameplayTagContainer; NotEqual_InstancedStruct; NotEqual_InputDeviceId; NotEqual_PlatformUserId; NotEqual_GuidGuid; NotEqual_BoolBool; NotEqual_ByteByte; NotEqual_ClassClass; NotEqual_DoubleDouble; NotEqual_Int64Int64; NotEqual_IntInt; ...,UK2Node_PromotableOperator,CompactNodeTitle=!=; ScriptOperator=!=; ScriptMethod; CompactNodeTitle=!=; ScriptMethod; CompactNodeTitle=!=; ScriptOperator=!=; CompactNodeTitle=!=,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,27 items: Source/Runtime/GameplayTags/Classes/BlueprintGameplayTagLibrary.h:48; Source/Runtime/GameplayTags/Classes/BlueprintGameplayTagLibrary.h:183; Source/Runtime/Engine/Classes/Kismet/BlueprintInstancedStructLibrary.h:70; Source/Runtime/Engine/Classes/GameFramework/InputDeviceLibrary.h:160; Source/Runtime/Engine/Classes/GameFramework/InputDeviceLibrary.h:152; ...,27
equal,"==, equal, eq",type_promotion,EqualEqual,UBlueprintGameplayTagLibrary; UBlueprintInstancedStructLibrary; UInputDeviceLibrary; UKismetGuidLibrary; UKismetInputLibrary; UKismetMathLibrary; UKismetSystemLibrary; USlateBlueprintLibrary,30 items: EqualEqual_GameplayTag; EqualEqual_GameplayTagContainer; EqualEqual_InstancedStruct; EqualEqual_InputDeviceId; EqualEqual_PlatformUserId; EqualEqual_GuidGuid; EqualEqual_InputChordInputChord; EqualEqual_KeyKey; EqualEqual_BoolBool; EqualEqual_ByteByte; EqualEqual_ClassClass; EqualEqual_DoubleDouble; ...,UK2Node_PromotableOperator,CompactNodeTitle===; ScriptOperator===; ScriptMethod; CompactNodeTitle===; ScriptMethod; CompactNodeTitle===; ScriptOperator===; CompactNodeTitle===,TypePromotion operation 名称 + typed pins；必要时提供目标 pin category/subcategory/object 以触发 FindBestMatchingFunc；不能只凭 token 静默选 overload。,同一 public_operation 存在大量 overload；必须由 typed pins 或已解析 function evidence 决定。,yes,,30 items: Source/Runtime/GameplayTags/Classes/BlueprintGameplayTagLibrary.h:44; Source/Runtime/GameplayTags/Classes/BlueprintGameplayTagLibrary.h:179; Source/Runtime/Engine/Classes/Kismet/BlueprintInstancedStructLibrary.h:64; Source/Runtime/Engine/Classes/GameFramework/InputDeviceLibrary.h:156; Source/Runtime/Engine/Classes/GameFramework/InputDeviceLibrary.h:148; ...,30
